number,company,symbol,ytd_return
394,WEYERHAEUSER CO,,   -5.72%
395,GEN DIGITAL INC,,   -5.78%
396,TERADYNE INC,,   -5.87%
397,APPLE INC,,   -5.91%
398,STATE STREET CORP,,   -5.93%
399,REGIONS FINANCIAL CORP,,   -5.93%
400,CARRIER GLOBAL CORP,,   -6.01%
401,ALEXANDRIA REAL ESTATE EQUIT,,   -6.04%
402,ADOBE INC,,   -6.05%
403,SNAP ON INC,,   -6.10%
404,UNITED PARCEL SERVICE CL B,,   -6.19%
405,EXPEDITORS INTL WASH INC,,   -6.21%
406,XCEL ENERGY INC,,   -6.23%
407,VERISIGN INC,,   -6.28%
408,DEXCOM INC,,   -6.38%
409,SCHWAB (CHARLES) CORP,,   -6.40%
410,PNC FINANCIAL SERVICES GROUP,,   -6.46%
411,TRUIST FINANCIAL CORP,,   -6.47%
412,INTERNATIONAL PAPER CO,,   -6.50%
413,MGM RESORTS INTERNATIONAL,,   -6.56%
414,DUKE ENERGY CORP,,   -6.58%
415,EVERSOURCE ENERGY,,   -6.61%
416,SCHLUMBERGER LTD,,   -6.69%
417,CAMDEN PROPERTY TRUST,,   -6.76%
418,BIO TECHNE CORP,,   -6.80%
419,EDISON INTERNATIONAL,,   -6.91%
420,TAKE TWO INTERACTIVE SOFTWRE,,   -6.98%
421,ON SEMICONDUCTOR,,   -7.14%
422,AVALONBAY COMMUNITIES INC,,   -7.26%
423,VICI PROPERTIES INC,,   -7.31%
424,ANSYS INC,,   -7.32%
425,EOG RESOURCES INC,,   -7.36%
426,ALLIANT ENERGY CORP,,   -7.54%
427,ROYAL CARIBBEAN CRUISES LTD,,   -7.66%
428,BUNGE GLOBAL SA,,   -7.68%
429,SKYWORKS SOLUTIONS INC,,   -7.73%
430,MID AMERICA APARTMENT COMM,,   -8.00%
431,CROWN CASTLE INC,,   -8.04%
432,MICROCHIP TECHNOLOGY INC,,   -8.07%
433,MORGAN STANLEY,,   -8.13%
434,CITIZENS FINANCIAL GROUP,,   -8.18%
435,ROBERT HALF INC,,   -8.42%
436,LULULEMON ATHLETICA INC,,   -8.42%
437,QUEST DIAGNOSTICS INC,,   -8.47%
438,UDR INC,,   -8.54%
439,REALTY INCOME CORP,,   -8.59%
440,TELEFLEX INC,,   -8.62%
441,PUBLIC STORAGE,,   -8.65%
